# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380     301      -0.174214      -0.174214              0              0
    6380     302      -0.169523      -0.169523              0              0
    6380     303      -0.164983      -0.164983              0              0
    6380     304      -0.160609      -0.160609              0              0
    6380     305      -0.156269      -0.156269              0              0
    6380     306      -0.152037      -0.152037              0              0
    6380     307      -0.147917      -0.147917              0              0
    6380     308      -0.143798      -0.143798              0              0
    6380     309      -0.139732      -0.139732              0              0
    6380     310       -0.13575       -0.13575              0              0
    6380     311       -0.51723       -0.51723              0              0
    6380     312      -0.505722      -0.505722              0              0
    6380     313      -0.494257      -0.494257              0              0
    6380     314      -0.482758      -0.482758              0              0
    6380     315      -0.471185      -0.471185              0              0
    6380     316      -0.459568      -0.459568              0              0
    6380     317      -0.447909      -0.447909              0              0
    6380     318      -0.436144      -0.436144              0              0
    6380     319      -0.424241      -0.424241              0              0
    6380     320      -0.412238      -0.412238              0              0
    6380     321      -0.400073      -0.400073              0              0
    6380     322      -0.387699      -0.387699              0              0
    6380     323       -0.37505       -0.37505              0              0
    6380     324      -0.362214      -0.362214              0              0
    6380     325      -0.349343      -0.349343              0              0
    6380     326      -0.335862      -0.335862              0              0
    6380     327      -0.322262      -0.322262              0              0
    6380     328       -0.30847       -0.30847              0              0
    6380     329      -0.294029      -0.294029              0              0
    6380     330      -0.279538      -0.279538              0              0
    6380     331      -0.264464      -0.264464              0              0
    6380     332      -0.249074      -0.249074              0              0
    6380     333      -0.233285      -0.233285              0              0
    6380     334      -0.216985      -0.216985              0              0
    6380     335       -0.20036       -0.20036              0              0
    6380     336      -0.183159      -0.183159              0              0
    6380     337      -0.165652      -0.165652              0              0
    6380     338      -0.147575      -0.147575              0              0
    6380     339      -0.129069      -0.129069              0              0
    6380     340      -0.110215      -0.110215              0              0
    6380     341     -0.0907752     -0.0907752              0              0
    6380     342      -0.071135      -0.071135              0              0
    6380     343     -0.0509265     -0.0509265              0              0
    6380     344     -0.0306704     -0.0306704              0              0
    6380     345    -0.00984239    -0.00984239              0              0
    6380     346      0.0111835      0.0111835              0              0
    6380     347       0.032214       0.032214              0              0
    6380     348      0.0536493      0.0536493              0              0
    6380     349      0.0748903      0.0748903              0              0
    6380     350       0.096068       0.096068              0              0
    6380     351       0.117567       0.117567              0              0
    6380     352       0.138381       0.138381              0              0
    6380     353       0.159348       0.159348              0              0
    6380     354       0.180133       0.180133              0              0
    6380     355       0.200163       0.200163              0              0
    6380     356        0.21979        0.21979              0              0
    6380     357       0.239005       0.239005              0              0
    6380     358       0.257691       0.257691              0              0
    6380     359       0.275676       0.275676              0              0
    6380     360       0.293017       0.293017              0              0
    6380     361       0.309834       0.309834              0              0
    6380     362       0.325605       0.325605              0              0
    6380     363       0.340918       0.340918              0              0
    6380     364       0.355821       0.355821              0              0
    6380     365       0.369608       0.369608              0              0
    6380     366       0.382627       0.382627              0              0
    6380     367       0.395154       0.395154              0              0
    6380     368       0.406889       0.406889              0              0
    6380     369       0.418124       0.418124              0              0
    6380     370       0.428519       0.428519              0              0
    6380     371       0.438375       0.438375              0              0
    6380     372       0.447708       0.447708              0              0
    6380     373       0.456499       0.456499              0              0
    6380     374       0.464743       0.464743              0              0
    6380     375       0.472409       0.472409              0              0
    6380     376       0.479634       0.479634              0              0
    6380     377       0.486474       0.486474              0              0
    6380     378       0.492948       0.492948              0              0
    6380     379        0.49871        0.49871              0              0
    6380     380       0.504252       0.504252              0              0
    6380     381       0.509435       0.509435              0              0
    6380     382       0.514291       0.514291              0              0
    6380     383       0.518831       0.518831              0              0
    6380     384       0.522586       0.522586              0              0
    6380     385       0.526819       0.526819              0              0
    6380     386       0.530243       0.530243              0              0
    6380     387       0.533999       0.533999              0              0
    6380     388       0.537573       0.537573              0              0
    6380     389       0.540297       0.540297              0              0
    6380     390       0.542747       0.542747              0              0
    6380     391        0.54538        0.54538              0              0
    6380     392       0.547787       0.547787              0              0
    6380     393        0.54989        0.54989              0              0
    6380     394       0.551911       0.551911              0              0
    6380     395        0.55362        0.55362              0              0
    6380     396       0.555233       0.555233              0              0
    6380     397       0.556868       0.556868              0              0
    6380     398       0.558333       0.558333              0              0
    6380     399       0.559516       0.559516              0              0
    6380     400       0.560916       0.560916              0              0
    6380     401       0.561936       0.561936              0              0
    6380     402       0.562963       0.562963              0              0
    6380     403       0.563964       0.563964              0              0
    6380     404        0.56489        0.56489              0              0
    6380     405       0.565693       0.565693              0              0
    6380     406       0.566468       0.566468              0              0
    6380     407       0.567054       0.567054              0              0
    6380     408       0.567474       0.567474              0              0
    6380     409       0.568024       0.568024              0              0
    6380     410       0.568503       0.568503              0              0
    6380     411       0.568873       0.568873              0              0
    6380     412       0.569225       0.569225              0              0
    6380     413       0.569512       0.569512              0              0
    6380     414         0.5694         0.5694              0              0
    6380     415       0.569061       0.569061              0              0
    6380     416       0.569606       0.569606              0              0
    6380     417       0.569697       0.569697              0              0
    6380     418       0.569394       0.569394              0              0
    6380     419       0.569148       0.569148              0              0
    6380     420       0.568871       0.568871              0              0
    6380     421        0.56862        0.56862              0              0
    6380     422       0.568038       0.568038              0              0
    6380     423       0.567236       0.567236              0              0
    6380     424       0.566453       0.566453              0              0
    6380     425       0.565654       0.565654              0              0
    6380     426        0.56481        0.56481              0              0
    6380     427       0.563585       0.563585              0              0
    6380     428       0.562668       0.562668              0              0
    6380     429       0.561544       0.561544              0              0
    6380     430       0.560014       0.560014              0              0
    6380     431       0.558417       0.558417              0              0
    6380     432       0.556808       0.556808              0              0
    6380     433       0.555046       0.555046              0              0
    6380     434       0.553074       0.553074              0              0
    6380     435       0.550978       0.550978              0              0
    6380     436       0.548952       0.548952              0              0
    6380     437       0.546757       0.546757              0              0
    6380     438       0.544014       0.544014              0              0
    6380     439       0.541278       0.541278              0              0
    6380     440        0.53831        0.53831              0              0
    6380     441       0.535215       0.535215              0              0
    6380     442       0.532729       0.532729              0              0
    6380     443       0.529826       0.529826              0              0
    6380     444       0.526485       0.526485              0              0
