# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380     301       0.888668       0.888668              0              0
    6380     302       0.886131       0.886131              0              0
    6380     303       0.883597       0.883597              0              0
    6380     304       0.880946       0.880946              0              0
    6380     305       0.878323       0.878323              0              0
    6380     306       0.875651       0.875651              0              0
    6380     307       0.872869       0.872869              0              0
    6380     308       0.870161       0.870161              0              0
    6380     309        0.86743        0.86743              0              0
    6380     310       0.864668       0.864668              0              0
    6380     311         4.2949         4.2949              0              0
    6380     312        4.32708        4.32708              0              0
    6380     313        4.35987        4.35987              0              0
    6380     314        4.39285        4.39285              0              0
    6380     315        4.42628        4.42628              0              0
    6380     316        4.46077        4.46077              0              0
    6380     317        4.49518        4.49518              0              0
    6380     318        4.52999        4.52999              0              0
    6380     319        4.56595        4.56595              0              0
    6380     320        4.60246        4.60246              0              0
    6380     321        4.63951        4.63951              0              0
    6380     322         4.6774         4.6774              0              0
    6380     323        4.71632        4.71632              0              0
    6380     324        4.75511        4.75511              0              0
    6380     325        4.79577        4.79577              0              0
    6380     326        4.83619        4.83619              0              0
    6380     327        4.87751        4.87751              0              0
    6380     328         4.9202         4.9202              0              0
    6380     329         4.9631         4.9631              0              0
    6380     330        5.00718        5.00718              0              0
    6380     331        5.05205        5.05205              0              0
    6380     332        5.09784        5.09784              0              0
    6380     333        5.14453        5.14453              0              0
    6380     334        5.19213        5.19213              0              0
    6380     335        5.24077        5.24077              0              0
    6380     336        5.29032        5.29032              0              0
    6380     337        5.34118        5.34118              0              0
    6380     338        5.39305        5.39305              0              0
    6380     339        5.44566        5.44566              0              0
    6380     340        5.49971        5.49971              0              0
    6380     341        5.55458        5.55458              0              0
    6380     342        5.61045        5.61045              0              0
    6380     343        5.66768        5.66768              0              0
    6380     344        5.72599        5.72599              0              0
    6380     345         5.7856         5.7856              0              0
    6380     346        5.84668        5.84668              0              0
    6380     347        5.90867        5.90867              0              0
    6380     348        5.97112        5.97112              0              0
    6380     349         6.0355         6.0355              0              0
    6380     350        6.10182        6.10182              0              0
    6380     351        6.16792        6.16792              0              0
    6380     352        6.23679        6.23679              0              0
    6380     353        6.30448        6.30448              0              0
    6380     354        6.37334        6.37334              0              0
    6380     355        6.44469        6.44469              0              0
    6380     356        6.51651        6.51651              0              0
    6380     357        6.58938        6.58938              0              0
    6380     358        6.66293        6.66293              0              0
    6380     359        6.73722        6.73722              0              0
    6380     360        6.81275        6.81275              0              0
    6380     361        6.88877        6.88877              0              0
    6380     362        6.96667        6.96667              0              0
    6380     363        7.04427        7.04427              0              0
    6380     364        7.12161        7.12161              0              0
    6380     365        7.20172        7.20172              0              0
    6380     366         7.2823         7.2823              0              0
    6380     367        7.36385        7.36385              0              0
    6380     368        7.44663        7.44663              0              0
    6380     369         7.5298         7.5298              0              0
    6380     370        7.61344        7.61344              0              0
    6380     371        7.69863        7.69863              0              0
    6380     372        7.78447        7.78447              0              0
    6380     373        7.87139        7.87139              0              0
    6380     374        7.95878        7.95878              0              0
    6380     375        8.04787        8.04787              0              0
    6380     376        8.13789        8.13789              0              0
    6380     377        8.22908        8.22908              0              0
    6380     378        8.32141        8.32141              0              0
    6380     379        8.41543        8.41543              0              0
    6380     380        8.51035        8.51035              0              0
    6380     381        8.60656        8.60656              0              0
    6380     382        8.70482        8.70482              0              0
    6380     383        8.80413        8.80413              0              0
    6380     384        8.90559        8.90559              0              0
    6380     385        9.00608        9.00608              0              0
    6380     386        9.11092        9.11092              0              0
    6380     387        9.21341        9.21341              0              0
    6380     388        9.31832        9.31832              0              0
    6380     389        9.42702        9.42702              0              0
    6380     390        9.53756        9.53756              0              0
    6380     391        9.64844        9.64844              0              0
    6380     392        9.76146        9.76146              0              0
    6380     393        9.87627        9.87627              0              0
    6380     394          9.993          9.993              0              0
    6380     395        10.1121        10.1121              0              0
    6380     396        10.2326        10.2326              0              0
    6380     397         10.355         10.355              0              0
    6380     398        10.4806        10.4806              0              0
    6380     399        10.6074        10.6074              0              0
    6380     400        10.7346        10.7346              0              0
    6380     401        10.8659        10.8659              0              0
    6380     402        10.9989        10.9989              0              0
    6380     403        11.1342        11.1342              0              0
    6380     404        11.2716        11.2716              0              0
    6380     405        11.4113        11.4113              0              0
    6380     406        11.5534        11.5534              0              0
    6380     407        11.6983        11.6983              0              0
    6380     408         11.846         11.846              0              0
    6380     409        11.9968        11.9968              0              0
    6380     410        12.1507        12.1507              0              0
    6380     411        12.3073        12.3073              0              0
    6380     412        12.4666        12.4666              0              0
    6380     413        12.6286        12.6286              0              0
    6380     414        12.7953        12.7953              0              0
    6380     415        12.9652        12.9652              0              0
    6380     416        13.1322        13.1322              0              0
    6380     417        13.3051        13.3051              0              0
    6380     418        13.4834        13.4834              0              0
    6380     419        13.6637        13.6637              0              0
    6380     420        13.8463        13.8463              0              0
    6380     421        14.0311        14.0311              0              0
    6380     422        14.2217        14.2217              0              0
    6380     423        14.4171        14.4171              0              0
    6380     424        14.6147        14.6147              0              0
    6380     425        14.8155        14.8155              0              0
    6380     426          15.02          15.02              0              0
    6380     427        15.2278        15.2278              0              0
    6380     428        15.4376        15.4376              0              0
    6380     429        15.6536        15.6536              0              0
    6380     430        15.8751        15.8751              0              0
    6380     431           16.1           16.1              0              0
    6380     432        16.3283        16.3283              0              0
    6380     433        16.5607        16.5607              0              0
    6380     434        16.7984        16.7984              0              0
    6380     435        17.0405        17.0405              0              0
    6380     436        17.2852        17.2852              0              0
    6380     437        17.5345        17.5345              0              0
    6380     438        17.7908        17.7908              0              0
    6380     439        18.0508        18.0508              0              0
    6380     440        18.3166        18.3166              0              0
    6380     441        18.5884        18.5884              0              0
    6380     442        18.8594        18.8594              0              0
    6380     443         19.136         19.136              0              0
    6380     444        19.4205        19.4205              0              0
    6380     445        19.7108        19.7108              0              0
    6380     446        20.0071        20.0071              0              0
    6380     447        20.3077        20.3077              0              0
    6380     448        20.6111        20.6111              0              0
    6380     449        20.9219        20.9219              0              0
    6380     450        21.2421        21.2421              0              0
    6380     451        21.5669        21.5669              0              0
    6380     452        21.8955        21.8955              0              0
    6380     453         22.231         22.231              0              0
    6380     454        22.5713        22.5713              0              0
    6380     455        22.9189        22.9189              0              0
    6380     456        23.2752        23.2752              0              0
    6380     457        23.6359        23.6359              0              0
    6380     458        24.0119        24.0119              0              0
