# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380    1487    7.55956e-07    7.55956e-07              0              0
    6380    1488    7.67803e-07    7.67803e-07              0              0
    6380    1489     7.8056e-07     7.8056e-07              0              0
    6380    1490    7.90618e-07    7.90618e-07              0              0
    6380    1491    7.96972e-07    7.96972e-07              0              0
    6380    1492     7.9994e-07     7.9994e-07              0              0
    6380    1493     8.0168e-07     8.0168e-07              0              0
    6380    1494    8.03086e-07    8.03086e-07              0              0
    6380    1495     8.1094e-07     8.1094e-07              0              0
    6380    1496    8.18057e-07    8.18057e-07              0              0
    6380    1497    8.23726e-07    8.23726e-07              0              0
    6380    1498    8.30324e-07    8.30324e-07              0              0
    6380    1499    8.36179e-07    8.36179e-07              0              0
    6380    1500    8.40619e-07    8.40619e-07              0              0
    6380    1501    8.41702e-07    8.41702e-07              0              0
    6380    1502    8.54943e-07    8.54943e-07              0              0
    6380    1503    8.72498e-07    8.72498e-07              0              0
    6380    1504    8.88317e-07    8.88317e-07              0              0
    6380    1505    8.97064e-07    8.97064e-07              0              0
    6380    1506    9.04409e-07    9.04409e-07              0              0
    6380    1507    9.08719e-07    9.08719e-07              0              0
    6380    1508    9.03713e-07    9.03713e-07              0              0
    6380    1509    8.95541e-07    8.95541e-07              0              0
    6380    1510    9.03829e-07    9.03829e-07              0              0
    6380    1511    9.22396e-07    9.22396e-07              0              0
    6380    1512    9.31878e-07    9.31878e-07              0              0
    6380    1513    9.40833e-07    9.40833e-07              0              0
    6380    1514    9.51419e-07    9.51419e-07              0              0
    6380    1515     9.5609e-07     9.5609e-07              0              0
    6380    1516    9.59043e-07    9.59043e-07              0              0
    6380    1517    9.67456e-07    9.67456e-07              0              0
    6380    1518    9.75597e-07    9.75597e-07              0              0
    6380    1519     9.8311e-07     9.8311e-07              0              0
    6380    1520    9.92476e-07    9.92476e-07              0              0
    6380    1521     9.9651e-07     9.9651e-07              0              0
    6380    1522    1.00868e-06    1.00868e-06              0              0
    6380    1523    1.01861e-06    1.01861e-06              0              0
    6380    1524    1.02649e-06    1.02649e-06              0              0
    6380    1525    1.03831e-06    1.03831e-06              0              0
    6380    1526    1.05088e-06    1.05088e-06              0              0
    6380    1527    1.05633e-06    1.05633e-06              0              0
    6380    1528    1.06372e-06    1.06372e-06              0              0
    6380    1529    1.07271e-06    1.07271e-06              0              0
    6380    1530     1.0824e-06     1.0824e-06              0              0
    6380    1531    1.09147e-06    1.09147e-06              0              0
    6380    1532    1.10196e-06    1.10196e-06              0              0
    6380    1533    1.11032e-06    1.11032e-06              0              0
    6380    1534    1.12241e-06    1.12241e-06              0              0
    6380    1535    1.13373e-06    1.13373e-06              0              0
    6380    1536    1.14881e-06    1.14881e-06              0              0
    6380    1537    1.16515e-06    1.16515e-06              0              0
    6380    1538    1.17656e-06    1.17656e-06              0              0
    6380    1539    1.17559e-06    1.17559e-06              0              0
    6380    1540     1.1744e-06     1.1744e-06              0              0
    6380    1541    1.17669e-06    1.17669e-06              0              0
    6380    1542    1.19212e-06    1.19212e-06              0              0
    6380    1543    1.21236e-06    1.21236e-06              0              0
    6380    1544    1.23162e-06    1.23162e-06              0              0
    6380    1545    1.24749e-06    1.24749e-06              0              0
    6380    1546     1.2595e-06     1.2595e-06              0              0
    6380    1547    1.27155e-06    1.27155e-06              0              0
    6380    1548    1.28416e-06    1.28416e-06              0              0
    6380    1549    1.29664e-06    1.29664e-06              0              0
    6380    1550    1.30754e-06    1.30754e-06              0              0
    6380    1551    1.31488e-06    1.31488e-06              0              0
    6380    1552    1.32369e-06    1.32369e-06              0              0
    6380    1553    1.33404e-06    1.33404e-06              0              0
    6380    1554    1.34757e-06    1.34757e-06              0              0
    6380    1555    1.36218e-06    1.36218e-06              0              0
    6380    1556    1.37616e-06    1.37616e-06              0              0
    6380    1557    1.38946e-06    1.38946e-06              0              0
    6380    1558    1.40251e-06    1.40251e-06              0              0
    6380    1559    1.41479e-06    1.41479e-06              0              0
    6380    1560    1.42605e-06    1.42605e-06              0              0
    6380    1561    1.43654e-06    1.43654e-06              0              0
    6380    1562    1.44771e-06    1.44771e-06              0              0
    6380    1563    1.46447e-06    1.46447e-06              0              0
    6380    1564    1.48316e-06    1.48316e-06              0              0
    6380    1565    1.50324e-06    1.50324e-06              0              0
    6380    1566    1.52116e-06    1.52116e-06              0              0
    6380    1567    1.53377e-06    1.53377e-06              0              0
    6380    1568    1.54471e-06    1.54471e-06              0              0
    6380    1569    1.55496e-06    1.55496e-06              0              0
    6380    1570    1.56365e-06    1.56365e-06              0              0
    6380    1571     1.5777e-06     1.5777e-06              0              0
    6380    1572    1.59035e-06    1.59035e-06              0              0
    6380    1573    1.60282e-06    1.60282e-06              0              0
    6380    1574    1.61211e-06    1.61211e-06              0              0
    6380    1575    1.63009e-06    1.63009e-06              0              0
    6380    1576    1.65321e-06    1.65321e-06              0              0
    6380    1577    1.66908e-06    1.66908e-06              0              0
    6380    1578    1.68426e-06    1.68426e-06              0              0
    6380    1579    1.70063e-06    1.70063e-06              0              0
    6380    1580    1.71587e-06    1.71587e-06              0              0
    6380    1581    1.72987e-06    1.72987e-06              0              0
    6380    1582    1.73335e-06    1.73335e-06              0              0
    6380    1583    1.74964e-06    1.74964e-06              0              0
    6380    1584    1.78024e-06    1.78024e-06              0              0
    6380    1585    1.81236e-06    1.81236e-06              0              0
    6380    1586    1.83792e-06    1.83792e-06              0              0
    6380    1587    1.84516e-06    1.84516e-06              0              0
    6380    1588    1.87204e-06    1.87204e-06              0              0
    6380    1589    1.89786e-06    1.89786e-06              0              0
    6380    1590    1.90178e-06    1.90178e-06              0              0
    6380    1591    1.90132e-06    1.90132e-06              0              0
    6380    1592    1.92015e-06    1.92015e-06              0              0
    6380    1593    1.95092e-06    1.95092e-06              0              0
    6380    1594    1.97153e-06    1.97153e-06              0              0
    6380    1595    1.98491e-06    1.98491e-06              0              0
    6380    1596     2.0038e-06     2.0038e-06              0              0
    6380    1597    2.02317e-06    2.02317e-06              0              0
    6380    1598    2.04369e-06    2.04369e-06              0              0
    6380    1599    2.06432e-06    2.06432e-06              0              0
    6380    1600    2.08394e-06    2.08394e-06              0              0
    6380    1601    2.10623e-06    2.10623e-06              0              0
    6380    1602    2.12743e-06    2.12743e-06              0              0
    6380    1603    2.14616e-06    2.14616e-06              0              0
    6380    1604      2.168e-06      2.168e-06              0              0
    6380    1605    2.19057e-06    2.19057e-06              0              0
    6380    1606    2.21144e-06    2.21144e-06              0              0
    6380    1607    2.23328e-06    2.23328e-06              0              0
    6380    1608    2.25617e-06    2.25617e-06              0              0
    6380    1609    2.27838e-06    2.27838e-06              0              0
    6380    1610    2.30177e-06    2.30177e-06              0              0
    6380    1611    2.32289e-06    2.32289e-06              0              0
    6380    1612    2.34475e-06    2.34475e-06              0              0
    6380    1613     2.3678e-06     2.3678e-06              0              0
    6380    1614    2.39163e-06    2.39163e-06              0              0
    6380    1615    2.41443e-06    2.41443e-06              0              0
    6380    1616    2.43737e-06    2.43737e-06              0              0
    6380    1617    2.46043e-06    2.46043e-06              0              0
    6380    1618    2.48263e-06    2.48263e-06              0              0
    6380    1619     2.5139e-06     2.5139e-06              0              0
    6380    1620     2.5408e-06     2.5408e-06              0              0
    6380    1621    2.56401e-06    2.56401e-06              0              0
    6380    1622    2.58761e-06    2.58761e-06              0              0
    6380    1623     2.6128e-06     2.6128e-06              0              0
    6380    1624    2.63823e-06    2.63823e-06              0              0
    6380    1625    2.66366e-06    2.66366e-06              0              0
    6380    1626    2.68665e-06    2.68665e-06              0              0
    6380    1627    2.70408e-06    2.70408e-06              0              0
    6380    1628    2.74394e-06    2.74394e-06              0              0
    6380    1629    2.77132e-06    2.77132e-06              0              0
    6380    1630     2.7969e-06     2.7969e-06              0              0
    6380    1631    2.82251e-06    2.82251e-06              0              0
    6380    1632    2.84858e-06    2.84858e-06              0              0
    6380    1633    2.87502e-06    2.87502e-06              0              0
    6380    1634    2.90136e-06    2.90136e-06              0              0
    6380    1635    2.92749e-06    2.92749e-06              0              0
    6380    1636    2.95073e-06    2.95073e-06              0              0
    6380    1637    2.98099e-06    2.98099e-06              0              0
    6380    1638     3.0082e-06     3.0082e-06              0              0
    6380    1639    3.03549e-06    3.03549e-06              0              0
    6380    1640    3.06299e-06    3.06299e-06              0              0
    6380    1641    3.09047e-06    3.09047e-06              0              0
    6380    1642    3.11807e-06    3.11807e-06              0              0
    6380    1643    3.14684e-06    3.14684e-06              0              0
    6380    1644    3.17603e-06    3.17603e-06              0              0
    6380    1645    3.20553e-06    3.20553e-06              0              0
    6380    1646    3.23488e-06    3.23488e-06              0              0
    6380    1647    3.26347e-06    3.26347e-06              0              0
    6380    1648    3.29135e-06    3.29135e-06              0              0
    6380    1649    3.31851e-06    3.31851e-06              0              0
    6380    1650     3.3465e-06     3.3465e-06              0              0
    6380    1651    3.38111e-06    3.38111e-06              0              0
    6380    1652    3.41816e-06    3.41816e-06              0              0
    6380    1653    3.45742e-06    3.45742e-06              0              0
    6380    1654    3.49545e-06    3.49545e-06              0              0
    6380    1655    3.52494e-06    3.52494e-06              0              0
    6380    1656    3.55252e-06    3.55252e-06              0              0
    6380    1657    3.57928e-06    3.57928e-06              0              0
    6380    1658    3.60524e-06    3.60524e-06              0              0
    6380    1659    3.63076e-06    3.63076e-06              0              0
    6380    1660     3.6652e-06     3.6652e-06              0              0
    6380    1661    3.69793e-06    3.69793e-06              0              0
    6380    1662    3.72949e-06    3.72949e-06              0              0
    6380    1663     3.7615e-06     3.7615e-06              0              0
    6380    1664    3.79505e-06    3.79505e-06              0              0
    6380    1665     3.8314e-06     3.8314e-06              0              0
    6380    1666    3.86885e-06    3.86885e-06              0              0
    6380    1667    3.90583e-06    3.90583e-06              0              0
    6380    1668    3.94027e-06    3.94027e-06              0              0
    6380    1669     3.9765e-06     3.9765e-06              0              0
    6380    1670    4.01565e-06    4.01565e-06              0              0
    6380    1671    4.05359e-06    4.05359e-06              0              0
    6380    1672    4.08857e-06    4.08857e-06              0              0
    6380    1673    4.12424e-06    4.12424e-06              0              0
    6380    1674     4.1631e-06     4.1631e-06              0              0
    6380    1675    4.20407e-06    4.20407e-06              0              0
    6380    1676    4.24433e-06    4.24433e-06              0              0
    6380    1677    4.27588e-06    4.27588e-06              0              0
    6380    1678    4.30073e-06    4.30073e-06              0              0
    6380    1679    4.34461e-06    4.34461e-06              0              0
    6380    1680     4.3924e-06     4.3924e-06              0              0
    6380    1681     4.4317e-06     4.4317e-06              0              0
