# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380    1487    4.58302e-07    4.58302e-07              0              0
    6380    1488    4.65279e-07    4.65279e-07              0              0
    6380    1489    4.72605e-07    4.72605e-07              0              0
    6380    1490    4.79052e-07    4.79052e-07              0              0
    6380    1491    4.83963e-07    4.83963e-07              0              0
    6380    1492    4.87685e-07    4.87685e-07              0              0
    6380    1493     4.9103e-07     4.9103e-07              0              0
    6380    1494    4.94122e-07    4.94122e-07              0              0
    6380    1495    5.00186e-07    5.00186e-07              0              0
    6380    1496    5.05706e-07    5.05706e-07              0              0
    6380    1497    5.10718e-07    5.10718e-07              0              0
    6380    1498    5.16137e-07    5.16137e-07              0              0
    6380    1499    5.21322e-07    5.21322e-07              0              0
    6380    1500    5.26031e-07    5.26031e-07              0              0
    6380    1501    5.29696e-07    5.29696e-07              0              0
    6380    1502    5.38593e-07    5.38593e-07              0              0
    6380    1503    5.48705e-07    5.48705e-07              0              0
    6380    1504    5.57837e-07    5.57837e-07              0              0
    6380    1505    5.64245e-07    5.64245e-07              0              0
    6380    1506    5.70367e-07    5.70367e-07              0              0
    6380    1507    5.75333e-07    5.75333e-07              0              0
    6380    1508    5.76768e-07    5.76768e-07              0              0
    6380    1509    5.76527e-07    5.76527e-07              0              0
    6380    1510    5.83159e-07    5.83159e-07              0              0
    6380    1511    5.94067e-07    5.94067e-07              0              0
    6380    1512    6.00637e-07    6.00637e-07              0              0
    6380    1513    6.07354e-07    6.07354e-07              0              0
    6380    1514    6.15231e-07    6.15231e-07              0              0
    6380    1515    6.19928e-07    6.19928e-07              0              0
    6380    1516     6.2366e-07     6.2366e-07              0              0
    6380    1517    6.30298e-07    6.30298e-07              0              0
    6380    1518    6.36962e-07    6.36962e-07              0              0
    6380    1519    6.43208e-07    6.43208e-07              0              0
    6380    1520    6.50531e-07    6.50531e-07              0              0
    6380    1521    6.55475e-07    6.55475e-07              0              0
    6380    1522    6.64257e-07    6.64257e-07              0              0
    6380    1523    6.71959e-07    6.71959e-07              0              0
    6380    1524    6.78666e-07    6.78666e-07              0              0
    6380    1525    6.87228e-07    6.87228e-07              0              0
    6380    1526    6.96083e-07    6.96083e-07              0              0
    6380    1527    7.01559e-07    7.01559e-07              0              0
    6380    1528    7.07976e-07    7.07976e-07              0              0
    6380    1529    7.15324e-07    7.15324e-07              0              0
    6380    1530    7.23373e-07    7.23373e-07              0              0
    6380    1531    7.31174e-07    7.31174e-07              0              0
    6380    1532    7.39574e-07    7.39574e-07              0              0
    6380    1533    7.47012e-07    7.47012e-07              0              0
    6380    1534    7.56284e-07    7.56284e-07              0              0
    6380    1535    7.65135e-07    7.65135e-07              0              0
    6380    1536    7.75552e-07    7.75552e-07              0              0
    6380    1537    7.86543e-07    7.86543e-07              0              0
    6380    1538    7.95245e-07    7.95245e-07              0              0
    6380    1539    7.98753e-07    7.98753e-07              0              0
    6380    1540    8.02366e-07    8.02366e-07              0              0
    6380    1541    8.07538e-07    8.07538e-07              0              0
    6380    1542    8.18477e-07    8.18477e-07              0              0
    6380    1543    8.31476e-07    8.31476e-07              0              0
    6380    1544    8.44086e-07    8.44086e-07              0              0
    6380    1545      8.553e-07      8.553e-07              0              0
    6380    1546     8.6499e-07     8.6499e-07              0              0
    6380    1547    8.74683e-07    8.74683e-07              0              0
    6380    1548    8.84661e-07    8.84661e-07              0              0
    6380    1549    8.94636e-07    8.94636e-07              0              0
    6380    1550    9.03895e-07    9.03895e-07              0              0
    6380    1551    9.11621e-07    9.11621e-07              0              0
    6380    1552    9.20135e-07    9.20135e-07              0              0
    6380    1553     9.2948e-07     9.2948e-07              0              0
    6380    1554    9.40455e-07    9.40455e-07              0              0
    6380    1555    9.52055e-07    9.52055e-07              0              0
    6380    1556     9.6349e-07     9.6349e-07              0              0
    6380    1557    9.74762e-07    9.74762e-07              0              0
    6380    1558    9.86089e-07    9.86089e-07              0              0
    6380    1559    9.97197e-07    9.97197e-07              0              0
    6380    1560      1.008e-06      1.008e-06              0              0
    6380    1561    1.01862e-06    1.01862e-06              0              0
    6380    1562    1.02979e-06    1.02979e-06              0              0
    6380    1563    1.04386e-06    1.04386e-06              0              0
    6380    1564    1.05907e-06    1.05907e-06              0              0
    6380    1565    1.07517e-06    1.07517e-06              0              0
    6380    1566    1.09047e-06    1.09047e-06              0              0
    6380    1567    1.10325e-06    1.10325e-06              0              0
    6380    1568    1.11542e-06    1.11542e-06              0              0
    6380    1569    1.12741e-06    1.12741e-06              0              0
    6380    1570    1.13868e-06    1.13868e-06              0              0
