# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380     638     0.00532803     0.00532803              0              0
    6380     639     0.00532406     0.00532406              0              0
    6380     640     0.00531868     0.00531868              0              0
    6380     641     0.00531381     0.00531381              0              0
    6380     642     0.00530899     0.00530899              0              0
    6380     643     0.00530426     0.00530426              0              0
    6380     644     0.00529954     0.00529954              0              0
    6380     645     0.00529477     0.00529477              0              0
    6380     646     0.00529003     0.00529003              0              0
    6380     647     0.00528537     0.00528537              0              0
    6380     648     0.00528044     0.00528044              0              0
    6380     649     0.00527577     0.00527577              0              0
    6380     650     0.00527095     0.00527095              0              0
    6380     651     0.00526708     0.00526708              0              0
    6380     652     0.00526242     0.00526242              0              0
    6380     653     0.00525829     0.00525829              0              0
    6380     654     0.00525315     0.00525315              0              0
    6380     655      0.0052482      0.0052482              0              0
    6380     656     0.00524299     0.00524299              0              0
    6380     657     0.00523834     0.00523834              0              0
    6380     658     0.00523413     0.00523413              0              0
    6380     659     0.00523036     0.00523036              0              0
    6380     660     0.00522559     0.00522559              0              0
    6380     661     0.00522106     0.00522106              0              0
    6380     662     0.00521679     0.00521679              0              0
    6380     663     0.00521209     0.00521209              0              0
    6380     664     0.00520746     0.00520746              0              0
    6380     665     0.00520363     0.00520363              0              0
    6380     666     0.00519837     0.00519837              0              0
    6380     667     0.00519401     0.00519401              0              0
    6380     668     0.00518998     0.00518998              0              0
    6380     669      0.0051856      0.0051856              0              0
    6380     670     0.00518118     0.00518118              0              0
    6380     671     0.00517687     0.00517687              0              0
    6380     672     0.00517249     0.00517249              0              0
    6380     673     0.00516819     0.00516819              0              0
    6380     674     0.00516387     0.00516387              0              0
    6380     675     0.00515979     0.00515979              0              0
    6380     676     0.00515395     0.00515395              0              0
    6380     677     0.00514918     0.00514918              0              0
    6380     678      0.0051455      0.0051455              0              0
    6380     679     0.00514194     0.00514194              0              0
    6380     680     0.00513949     0.00513949              0              0
    6380     681     0.00513393     0.00513393              0              0
    6380     682      0.0051297      0.0051297              0              0
    6380     683     0.00512579     0.00512579              0              0
    6380     684     0.00512201     0.00512201              0              0
    6380     685     0.00511828     0.00511828              0              0
    6380     686     0.00511612     0.00511612              0              0
    6380     687     0.00511264     0.00511264              0              0
    6380     688     0.00511004     0.00511004              0              0
    6380     689     0.00510832     0.00510832              0              0
    6380     690     0.00510698     0.00510698              0              0
    6380     691     0.00510642     0.00510642              0              0
    6380     692     0.00510548     0.00510548              0              0
    6380     693     0.00510471     0.00510471              0              0
    6380     694     0.00510414     0.00510414              0              0
    6380     695     0.00510415     0.00510415              0              0
    6380     696     0.00510409     0.00510409              0              0
    6380     697     0.00510421     0.00510421              0              0
    6380     698     0.00510446     0.00510446              0              0
    6380     699     0.00510498     0.00510498              0              0
    6380     700     0.00510562     0.00510562              0              0
    6380     701     0.00510568     0.00510568              0              0
    6380     702     0.00510655     0.00510655              0              0
    6380     703     0.00510389     0.00510389              0              0
    6380     704     0.00510194     0.00510194              0              0
    6380     705      0.0051004      0.0051004              0              0
    6380     706     0.00509923     0.00509923              0              0
    6380     707      0.0050986      0.0050986              0              0
    6380     708     0.00509531     0.00509531              0              0
    6380     709     0.00509392     0.00509392              0              0
    6380     710     0.00509052     0.00509052              0              0
    6380     711     0.00508592     0.00508592              0              0
    6380     712     0.00507924     0.00507924              0              0
    6380     713     0.00507018     0.00507018              0              0
    6380     714     0.00506171     0.00506171              0              0
    6380     715     0.00505231     0.00505231              0              0
    6380     716     0.00504205     0.00504205              0              0
    6380     717     0.00502963     0.00502963              0              0
    6380     718      0.0050154      0.0050154              0              0
    6380     719     0.00499929     0.00499929              0              0
    6380     720     0.00498153     0.00498153              0              0
    6380     721     0.00496296     0.00496296              0              0
    6380     722     0.00494235     0.00494235              0              0
    6380     723     0.00491979     0.00491979              0              0
    6380     724     0.00489654     0.00489654              0              0
    6380     725     0.00487361     0.00487361              0              0
    6380     726     0.00485064     0.00485064              0              0
    6380     727     0.00482316     0.00482316              0              0
    6380     728     0.00479506     0.00479506              0              0
    6380     729     0.00476876     0.00476876              0              0
    6380     730     0.00474454     0.00474454              0              0
    6380     731     0.00472119     0.00472119              0              0
    6380     732     0.00469431     0.00469431              0              0
    6380     733     0.00466975     0.00466975              0              0
    6380     734     0.00464661     0.00464661              0              0
    6380     735     0.00462562     0.00462562              0              0
    6380     736     0.00460596     0.00460596              0              0
    6380     737     0.00458717     0.00458717              0              0
    6380     738     0.00457024     0.00457024              0              0
    6380     739     0.00455483     0.00455483              0              0
    6380     740     0.00454139     0.00454139              0              0
    6380     741      0.0045302      0.0045302              0              0
    6380     742      0.0045189      0.0045189              0              0
    6380     743      0.0045091      0.0045091              0              0
    6380     744     0.00450258     0.00450258              0              0
    6380     745     0.00449934     0.00449934              0              0
    6380     746     0.00449744     0.00449744              0              0
    6380     747     0.00449488     0.00449488              0              0
    6380     748     0.00449396     0.00449396              0              0
    6380     749     0.00449514     0.00449514              0              0
    6380     750     0.00449762     0.00449762              0              0
    6380     751     0.00450053     0.00450053              0              0
    6380     752     0.00450476     0.00450476              0              0
    6380     753     0.00451123     0.00451123              0              0
    6380     754     0.00451946     0.00451946              0              0
    6380     755     0.00452652     0.00452652              0              0
    6380     756     0.00453378     0.00453378              0              0
    6380     757     0.00454242     0.00454242              0              0
    6380     758      0.0045525      0.0045525              0              0
    6380     759     0.00456392     0.00456392              0              0
    6380     760     0.00457523     0.00457523              0              0
    6380     761     0.00458667     0.00458667              0              0
    6380     762     0.00459961     0.00459961              0              0
    6380     763     0.00461144     0.00461144              0              0
    6380     764     0.00462443     0.00462443              0              0
    6380     765     0.00463796     0.00463796              0              0
    6380     766     0.00465068     0.00465068              0              0
    6380     767     0.00466507     0.00466507              0              0
    6380     768      0.0046792      0.0046792              0              0
    6380     769     0.00469251     0.00469251              0              0
    6380     770     0.00470798     0.00470798              0              0
    6380     771     0.00472227     0.00472227              0              0
    6380     772     0.00473681     0.00473681              0              0
    6380     773      0.0047532      0.0047532              0              0
    6380     774     0.00476647     0.00476647              0              0
    6380     775     0.00478197     0.00478197              0              0
    6380     776     0.00479821     0.00479821              0              0
    6380     777     0.00481368     0.00481368              0              0
    6380     778      0.0048299      0.0048299              0              0
    6380     779     0.00484631     0.00484631              0              0
    6380     780      0.0048622      0.0048622              0              0
    6380     781     0.00487876     0.00487876              0              0
    6380     782     0.00489555     0.00489555              0              0
    6380     783     0.00491207     0.00491207              0              0
    6380     784     0.00492868     0.00492868              0              0
    6380     785     0.00494555     0.00494555              0              0
    6380     786     0.00496253     0.00496253              0              0
    6380     787     0.00498003     0.00498003              0              0
    6380     788     0.00499725     0.00499725              0              0
    6380     789      0.0050143      0.0050143              0              0
    6380     790     0.00503249     0.00503249              0              0
    6380     791     0.00504926     0.00504926              0              0
    6380     792     0.00506525     0.00506525              0              0
    6380     793     0.00508239     0.00508239              0              0
    6380     794     0.00510085     0.00510085              0              0
    6380     795     0.00512075     0.00512075              0              0
    6380     796     0.00513962     0.00513962              0              0
    6380     797     0.00515709     0.00515709              0              0
    6380     798     0.00517499     0.00517499              0              0
    6380     799     0.00519436     0.00519436              0              0
    6380     800     0.00521082     0.00521082              0              0
    6380     801     0.00522701     0.00522701              0              0
    6380     802     0.00524284     0.00524284              0              0
    6380     803     0.00525881     0.00525881              0              0
    6380     804     0.00527933     0.00527933              0              0
    6380     805     0.00530094     0.00530094              0              0
    6380     806     0.00531794     0.00531794              0              0
    6380     807     0.00533414     0.00533414              0              0
    6380     808     0.00535227     0.00535227              0              0
    6380     809     0.00537135     0.00537135              0              0
    6380     810     0.00538952     0.00538952              0              0
    6380     811     0.00540752     0.00540752              0              0
    6380     812     0.00542534     0.00542534              0              0
    6380     813      0.0054431      0.0054431              0              0
    6380     814     0.00546084     0.00546084              0              0
    6380     815     0.00547846     0.00547846              0              0
    6380     816     0.00549608     0.00549608              0              0
    6380     817     0.00551367     0.00551367              0              0
    6380     818     0.00553107     0.00553107              0              0
    6380     819     0.00554833     0.00554833              0              0
    6380     820     0.00556598     0.00556598              0              0
    6380     821     0.00558354     0.00558354              0              0
    6380     822     0.00560098     0.00560098              0              0
    6380     823     0.00561884     0.00561884              0              0
    6380     824       0.005637       0.005637              0              0
    6380     825     0.00565464     0.00565464              0              0
    6380     826     0.00567247     0.00567247              0              0
    6380     827     0.00569013     0.00569013              0              0
    6380     828     0.00570809     0.00570809              0              0
    6380     829     0.00572609     0.00572609              0              0
    6380     830     0.00574417     0.00574417              0              0
    6380     831     0.00576281     0.00576281              0              0
    6380     832     0.00578223     0.00578223              0              0
    6380     833     0.00580132     0.00580132              0              0
    6380     834     0.00581876     0.00581876              0              0
    6380     835     0.00583488     0.00583488              0              0
    6380     836     0.00585137     0.00585137              0              0
    6380     837       0.005869       0.005869              0              0
    6380     838     0.00588843     0.00588843              0              0
    6380     839     0.00590854     0.00590854              0              0
    6380     840     0.00592887     0.00592887              0              0
