# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380     638     0.00636236     0.00636236              0              0
    6380     639     0.00640589     0.00640589              0              0
    6380     640     0.00644971     0.00644971              0              0
    6380     641     0.00649389     0.00649389              0              0
    6380     642     0.00653846     0.00653846              0              0
    6380     643     0.00658323     0.00658323              0              0
    6380     644     0.00662822     0.00662822              0              0
    6380     645     0.00667346     0.00667346              0              0
    6380     646     0.00671903     0.00671903              0              0
    6380     647     0.00676475     0.00676475              0              0
    6380     648     0.00681088     0.00681088              0              0
    6380     649     0.00685716     0.00685716              0              0
    6380     650     0.00690364     0.00690364              0              0
    6380     651     0.00694989     0.00694989              0              0
    6380     652     0.00699657     0.00699657              0              0
    6380     653     0.00704382     0.00704382              0              0
    6380     654       0.007092       0.007092              0              0
    6380     655      0.0071404      0.0071404              0              0
    6380     656       0.007189       0.007189              0              0
    6380     657     0.00723741     0.00723741              0              0
    6380     658     0.00728633     0.00728633              0              0
    6380     659     0.00733542     0.00733542              0              0
    6380     660     0.00738445     0.00738445              0              0
    6380     661     0.00743399     0.00743399              0              0
    6380     662     0.00748338     0.00748338              0              0
    6380     663     0.00753336     0.00753336              0              0
    6380     664     0.00758442     0.00758442              0              0
    6380     665     0.00763554     0.00763554              0              0
    6380     666      0.0076867      0.0076867              0              0
    6380     667     0.00773808     0.00773808              0              0
    6380     668     0.00778963     0.00778963              0              0
    6380     669     0.00784154     0.00784154              0              0
    6380     670     0.00789374     0.00789374              0              0
    6380     671     0.00794634     0.00794634              0              0
    6380     672     0.00799913     0.00799913              0              0
    6380     673      0.0080523      0.0080523              0              0
    6380     674     0.00810575     0.00810575              0              0
    6380     675     0.00815994     0.00815994              0              0
    6380     676     0.00821397     0.00821397              0              0
    6380     677     0.00826778     0.00826778              0              0
    6380     678     0.00832184     0.00832184              0              0
    6380     679     0.00837712     0.00837712              0              0
    6380     680     0.00843249     0.00843249              0              0
    6380     681      0.0084877      0.0084877              0              0
    6380     682     0.00854347     0.00854347              0              0
    6380     683     0.00859928     0.00859928              0              0
    6380     684     0.00865566     0.00865566              0              0
    6380     685     0.00871338     0.00871338              0              0
    6380     686     0.00877162     0.00877162              0              0
    6380     687     0.00882955     0.00882955              0              0
    6380     688     0.00888808     0.00888808              0              0
    6380     689     0.00894721     0.00894721              0              0
    6380     690     0.00900705     0.00900705              0              0
    6380     691     0.00906748     0.00906748              0              0
    6380     692     0.00912834     0.00912834              0              0
    6380     693     0.00918973     0.00918973              0              0
    6380     694     0.00925171     0.00925171              0              0
    6380     695      0.0093146      0.0093146              0              0
    6380     696     0.00937798     0.00937798              0              0
    6380     697     0.00944213     0.00944213              0              0
    6380     698     0.00950681     0.00950681              0              0
    6380     699     0.00957183     0.00957183              0              0
    6380     700     0.00963802     0.00963802              0              0
    6380     701     0.00970558     0.00970558              0              0
    6380     702     0.00977394     0.00977394              0              0
    6380     703     0.00984249     0.00984249              0              0
    6380     704     0.00991238     0.00991238              0              0
    6380     705     0.00998281     0.00998281              0              0
    6380     706      0.0100545      0.0100545              0              0
    6380     707      0.0101274      0.0101274              0              0
    6380     708      0.0102007      0.0102007              0              0
    6380     709      0.0102755      0.0102755              0              0
    6380     710      0.0103504      0.0103504              0              0
    6380     711      0.0104271      0.0104271              0              0
    6380     712      0.0105043      0.0105043              0              0
    6380     713      0.0105823      0.0105823              0              0
    6380     714      0.0106621      0.0106621              0              0
    6380     715      0.0107437      0.0107437              0              0
    6380     716      0.0108262      0.0108262              0              0
    6380     717      0.0109095      0.0109095              0              0
    6380     718      0.0109943      0.0109943              0              0
    6380     719      0.0110803      0.0110803              0              0
    6380     720      0.0111675      0.0111675              0              0
    6380     721      0.0112564      0.0112564              0              0
    6380     722      0.0113464      0.0113464              0              0
    6380     723      0.0114376      0.0114376              0              0
    6380     724      0.0115302      0.0115302              0              0
    6380     725      0.0116245      0.0116245              0              0
    6380     726      0.0117204      0.0117204              0              0
    6380     727      0.0118163      0.0118163              0              0
    6380     728      0.0119136      0.0119136              0              0
    6380     729       0.012012       0.012012              0              0
    6380     730      0.0121116      0.0121116              0              0
    6380     731      0.0122123      0.0122123              0              0
    6380     732      0.0123132      0.0123132              0              0
    6380     733       0.012415       0.012415              0              0
    6380     734      0.0125174      0.0125174              0              0
    6380     735      0.0126206      0.0126206              0              0
    6380     736       0.012724       0.012724              0              0
    6380     737       0.012828       0.012828              0              0
    6380     738      0.0129324      0.0129324              0              0
    6380     739      0.0130369      0.0130369              0              0
    6380     740      0.0131421      0.0131421              0              0
    6380     741      0.0132478      0.0132478              0              0
    6380     742      0.0133521      0.0133521              0              0
    6380     743      0.0134566      0.0134566              0              0
    6380     744      0.0135622      0.0135622              0              0
    6380     745      0.0136687      0.0136687              0              0
    6380     746      0.0137754      0.0137754              0              0
    6380     747       0.013881       0.013881              0              0
    6380     748       0.013987       0.013987              0              0
    6380     749      0.0140936      0.0140936              0              0
    6380     750      0.0142003      0.0142003              0              0
    6380     751      0.0143068      0.0143068              0              0
    6380     752      0.0144138      0.0144138              0              0
    6380     753      0.0145218      0.0145218              0              0
    6380     754      0.0146307      0.0146307              0              0
    6380     755      0.0147385      0.0147385              0              0
    6380     756      0.0148465      0.0148465              0              0
    6380     757      0.0149554      0.0149554              0              0
    6380     758      0.0150639      0.0150639              0              0
    6380     759      0.0151728      0.0151728              0              0
    6380     760      0.0152822      0.0152822              0              0
    6380     761      0.0153922      0.0153922              0              0
    6380     762       0.015503       0.015503              0              0
    6380     763      0.0156135      0.0156135              0              0
    6380     764      0.0157249      0.0157249              0              0
    6380     765      0.0158365      0.0158365              0              0
    6380     766      0.0159487      0.0159487              0              0
    6380     767      0.0160613      0.0160613              0              0
    6380     768      0.0161744      0.0161744              0              0
    6380     769      0.0162879      0.0162879              0              0
    6380     770       0.016402       0.016402              0              0
    6380     771      0.0165164      0.0165164              0              0
    6380     772      0.0166315      0.0166315              0              0
    6380     773      0.0167473      0.0167473              0              0
    6380     774      0.0168625      0.0168625              0              0
    6380     775      0.0169792      0.0169792              0              0
    6380     776       0.017097       0.017097              0              0
    6380     777      0.0172165      0.0172165              0              0
    6380     778      0.0173366      0.0173366              0              0
    6380     779      0.0174571      0.0174571              0              0
    6380     780      0.0175782      0.0175782              0              0
    6380     781         0.0177         0.0177              0              0
    6380     782      0.0178223      0.0178223              0              0
    6380     783      0.0179451      0.0179451              0              0
    6380     784      0.0180683      0.0180683              0              0
    6380     785      0.0181923      0.0181923              0              0
    6380     786      0.0183169      0.0183169              0              0
    6380     787      0.0184422      0.0184422              0              0
    6380     788      0.0185679      0.0185679              0              0
    6380     789      0.0186939      0.0186939              0              0
    6380     790      0.0188215      0.0188215              0              0
    6380     791       0.018948       0.018948              0              0
    6380     792      0.0190738      0.0190738              0              0
    6380     793       0.019201       0.019201              0              0
    6380     794      0.0193305      0.0193305              0              0
    6380     795      0.0194615      0.0194615              0              0
    6380     796      0.0195934      0.0195934              0              0
    6380     797      0.0197253      0.0197253              0              0
    6380     798      0.0198574      0.0198574              0              0
    6380     799       0.019991       0.019991              0              0
    6380     800      0.0201224      0.0201224              0              0
    6380     801      0.0202547      0.0202547              0              0
    6380     802      0.0203875      0.0203875              0              0
    6380     803      0.0205206      0.0205206              0              0
    6380     804      0.0206574      0.0206574              0              0
    6380     805       0.020796       0.020796              0              0
    6380     806      0.0209313      0.0209313              0              0
    6380     807      0.0210666      0.0210666              0              0
    6380     808      0.0212044      0.0212044              0              0
    6380     809      0.0213441      0.0213441              0              0
    6380     810      0.0214839      0.0214839              0              0
    6380     811      0.0216239      0.0216239              0              0
    6380     812      0.0217643      0.0217643              0              0
    6380     813      0.0219053      0.0219053              0              0
    6380     814       0.022047       0.022047              0              0
    6380     815      0.0221893      0.0221893              0              0
    6380     816      0.0223324      0.0223324              0              0
    6380     817      0.0224761      0.0224761              0              0
    6380     818      0.0226204      0.0226204              0              0
    6380     819      0.0227652      0.0227652              0              0
    6380     820      0.0229111      0.0229111              0              0
    6380     821      0.0230575      0.0230575              0              0
    6380     822      0.0232044      0.0232044              0              0
    6380     823      0.0233524      0.0233524              0              0
    6380     824      0.0235011      0.0235011              0              0
    6380     825      0.0236504      0.0236504              0              0
    6380     826      0.0238004      0.0238004              0              0
    6380     827      0.0239511      0.0239511              0              0
    6380     828      0.0241025      0.0241025              0              0
    6380     829      0.0242547      0.0242547              0              0
    6380     830      0.0244078      0.0244078              0              0
    6380     831      0.0245618      0.0245618              0              0
    6380     832      0.0247171      0.0247171              0              0
    6380     833      0.0248724      0.0248724              0              0
    6380     834      0.0250267      0.0250267              0              0
    6380     835      0.0251812      0.0251812              0              0
    6380     836       0.025337       0.025337              0              0
    6380     837      0.0254946      0.0254946              0              0
    6380     838      0.0256553      0.0256553              0              0
    6380     839      0.0258174      0.0258174              0              0
    6380     840      0.0259802      0.0259802              0              0
    6380     841      0.0261408      0.0261408              0              0
    6380     842      0.0263025      0.0263025              0              0
    6380     843      0.0264651      0.0264651              0              0
    6380     844      0.0266291      0.0266291              0              0
    6380     845      0.0267951      0.0267951              0              0
    6380     846      0.0269627      0.0269627              0              0
    6380     847      0.0271296      0.0271296              0              0
    6380     848      0.0272964      0.0272964              0              0
    6380     849      0.0274643      0.0274643              0              0
    6380     850      0.0276336      0.0276336              0              0
    6380     851      0.0278031      0.0278031              0              0
    6380     852      0.0279738      0.0279738              0              0
    6380     853      0.0281455      0.0281455              0              0
    6380     854      0.0283183      0.0283183              0              0
    6380     855      0.0284921      0.0284921              0              0
    6380     856      0.0286673      0.0286673              0              0
    6380     857      0.0288431      0.0288431              0              0
    6380     858      0.0290182      0.0290182              0              0
    6380     859      0.0291933      0.0291933              0              0
    6380     860      0.0293708      0.0293708              0              0
    6380     861      0.0295478      0.0295478              0              0
    6380     862      0.0297252      0.0297252              0              0
    6380     863      0.0299049      0.0299049              0              0
    6380     864      0.0300852      0.0300852              0              0
    6380     865      0.0302662      0.0302662              0              0
    6380     866      0.0304491      0.0304491              0              0
    6380     867      0.0306359      0.0306359              0              0
    6380     868      0.0308183      0.0308183              0              0
    6380     869       0.031001       0.031001              0              0
    6380     870      0.0311856      0.0311856              0              0
    6380     871      0.0313702      0.0313702              0              0
    6380     872      0.0315542      0.0315542              0              0
    6380     873      0.0317392      0.0317392              0              0
    6380     874      0.0319253      0.0319253              0              0
    6380     875      0.0321139      0.0321139              0              0
    6380     876      0.0323051      0.0323051              0              0
    6380     877      0.0324975      0.0324975              0              0
    6380     878        0.03269        0.03269              0              0
    6380     879      0.0328797      0.0328797              0              0
    6380     880      0.0330706      0.0330706              0              0
    6380     881      0.0332634      0.0332634              0              0
    6380     882      0.0334569      0.0334569              0              0
    6380     883      0.0336511      0.0336511              0              0
    6380     884      0.0338463      0.0338463              0              0
    6380     885      0.0340422      0.0340422              0              0
    6380     886      0.0342389      0.0342389              0              0
    6380     887      0.0344361      0.0344361              0              0
    6380     888      0.0346346      0.0346346              0              0
    6380     889       0.034834       0.034834              0              0
    6380     890      0.0350342      0.0350342              0              0
    6380     891      0.0352353      0.0352353              0              0
    6380     892      0.0354373      0.0354373              0              0
    6380     893      0.0356401      0.0356401              0              0
    6380     894      0.0358437      0.0358437              0              0
    6380     895      0.0360483      0.0360483              0              0
    6380     896      0.0362539      0.0362539              0              0
    6380     897      0.0364603      0.0364603              0              0
    6380     898      0.0366677      0.0366677              0              0
    6380     899      0.0368759      0.0368759              0              0
    6380     900      0.0370847      0.0370847              0              0
    6380     901      0.0372946      0.0372946              0              0
    6380     902      0.0375056      0.0375056              0              0
    6380     903      0.0377178      0.0377178              0              0
    6380     904      0.0379322      0.0379322              0              0
    6380     905      0.0381456      0.0381456              0              0
    6380     906      0.0383605      0.0383605              0              0
    6380     907      0.0385765      0.0385765              0              0
    6380     908      0.0387936      0.0387936              0              0
    6380     909      0.0390121      0.0390121              0              0
    6380     910      0.0392314      0.0392314              0              0
    6380     911      0.0394518      0.0394518              0              0
    6380     912      0.0396737      0.0396737              0              0
    6380     913      0.0398959      0.0398959              0              0
    6380     914      0.0401202      0.0401202              0              0
    6380     915      0.0403441      0.0403441              0              0
    6380     916      0.0405669      0.0405669              0              0
    6380     917        0.04079        0.04079              0              0
    6380     918      0.0410158      0.0410158              0              0
    6380     919      0.0412427      0.0412427              0              0
    6380     920      0.0414716      0.0414716              0              0
    6380     921      0.0417037      0.0417037              0              0
    6380     922      0.0419381      0.0419381              0              0
    6380     923       0.042174       0.042174              0              0
    6380     924      0.0424076      0.0424076              0              0
    6380     925      0.0426392      0.0426392              0              0
    6380     926      0.0428748      0.0428748              0              0
    6380     927      0.0431128      0.0431128              0              0
    6380     928      0.0433515      0.0433515              0              0
    6380     929       0.043591       0.043591              0              0
    6380     930      0.0438317      0.0438317              0              0
    6380     931      0.0440753      0.0440753              0              0
    6380     932      0.0443188      0.0443188              0              0
    6380     933      0.0445627      0.0445627              0              0
    6380     934      0.0448082      0.0448082              0              0
    6380     935      0.0450549      0.0450549              0              0
    6380     936      0.0453033      0.0453033              0              0
    6380     937      0.0455549      0.0455549              0              0
    6380     938      0.0458081      0.0458081              0              0
    6380     939      0.0460627      0.0460627              0              0
    6380     940      0.0463189      0.0463189              0              0
    6380     941      0.0465765      0.0465765              0              0
    6380     942      0.0468351      0.0468351              0              0
    6380     943      0.0470947      0.0470947              0              0
    6380     944      0.0473554      0.0473554              0              0
    6380     945      0.0476183      0.0476183              0              0
    6380     946      0.0478828      0.0478828              0              0
    6380     947      0.0481489      0.0481489              0              0
