# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380    1701     -0.0937194     -0.0937194              0              0
    6380    1702     -0.0947653     -0.0947653              0              0
    6380    1703      -0.095817      -0.095817              0              0
    6380    1704     -0.0968717     -0.0968717              0              0
    6380    1705     -0.0979295     -0.0979295              0              0
    6380    1706     -0.0989913     -0.0989913              0              0
    6380    1707      -0.100058      -0.100058              0              0
    6380    1708      -0.101127      -0.101127              0              0
    6380    1709      -0.102197      -0.102197              0              0
    6380    1710      -0.103268      -0.103268              0              0
    6380    1711       -0.10434       -0.10434              0              0
    6380    1712      -0.105412      -0.105412              0              0
    6380    1713      -0.106484      -0.106484              0              0
    6380    1714      -0.107556      -0.107556              0              0
    6380    1715      -0.108628      -0.108628              0              0
    6380    1716      -0.109698      -0.109698              0              0
    6380    1717      -0.110767      -0.110767              0              0
    6380    1718      -0.111841      -0.111841              0              0
    6380    1719      -0.112918      -0.112918              0              0
    6380    1720      -0.113997      -0.113997              0              0
    6380    1721      -0.115077      -0.115077              0              0
    6380    1722      -0.116152      -0.116152              0              0
    6380    1723      -0.117225      -0.117225              0              0
    6380    1724      -0.118298      -0.118298              0              0
    6380    1725       -0.11937       -0.11937              0              0
    6380    1726      -0.120441      -0.120441              0              0
    6380    1727      -0.121508      -0.121508              0              0
    6380    1728      -0.122574      -0.122574              0              0
    6380    1729      -0.123638      -0.123638              0              0
    6380    1730      -0.124702      -0.124702              0              0
    6380    1731      -0.125764      -0.125764              0              0
    6380    1732      -0.126826      -0.126826              0              0
    6380    1733      -0.127887      -0.127887              0              0
    6380    1734      -0.128949      -0.128949              0              0
    6380    1735      -0.130013      -0.130013              0              0
    6380    1736       -0.13108       -0.13108              0              0
    6380    1737      -0.132146      -0.132146              0              0
    6380    1738      -0.133212      -0.133212              0              0
    6380    1739       -0.13428       -0.13428              0              0
    6380    1740      -0.135348      -0.135348              0              0
    6380    1741      -0.136414      -0.136414              0              0
    6380    1742      -0.137476      -0.137476              0              0
    6380    1743      -0.138533      -0.138533              0              0
    6380    1744      -0.139585      -0.139585              0              0
    6380    1745      -0.140628      -0.140628              0              0
    6380    1746      -0.141665      -0.141665              0              0
    6380    1747      -0.142696      -0.142696              0              0
    6380    1748      -0.143721      -0.143721              0              0
    6380    1749      -0.144739      -0.144739              0              0
    6380    1750      -0.145751      -0.145751              0              0
    6380    1751      -0.146758      -0.146758              0              0
    6380    1752      -0.147757      -0.147757              0              0
    6380    1753      -0.148751      -0.148751              0              0
    6380    1754      -0.149738      -0.149738              0              0
    6380    1755      -0.150718      -0.150718              0              0
    6380    1756      -0.151695      -0.151695              0              0
    6380    1757      -0.152668      -0.152668              0              0
    6380    1758      -0.153635      -0.153635              0              0
    6380    1759      -0.154597      -0.154597              0              0
    6380    1760      -0.155555      -0.155555              0              0
    6380    1761      -0.156508      -0.156508              0              0
    6380    1762      -0.157454      -0.157454              0              0
    6380    1763      -0.158396      -0.158396              0              0
    6380    1764      -0.159332      -0.159332              0              0
    6380    1765      -0.160261      -0.160261              0              0
    6380    1766      -0.161184      -0.161184              0              0
    6380    1767      -0.162097      -0.162097              0              0
    6380    1768      -0.162999      -0.162999              0              0
    6380    1769      -0.163893      -0.163893              0              0
    6380    1770      -0.164779      -0.164779              0              0
    6380    1771      -0.165654      -0.165654              0              0
    6380    1772      -0.166522      -0.166522              0              0
    6380    1773      -0.167386      -0.167386              0              0
    6380    1774      -0.168239      -0.168239              0              0
    6380    1775      -0.169084      -0.169084              0              0
