# ENERGY      NU         SIGRAD        SIGBORN     STAT. ERR.     SYST. ERR.
    6380    3117       0.128989       0.128989              0              0
    6380    3118       0.130123       0.130123              0              0
    6380    3119       0.131263       0.131263              0              0
    6380    3120       0.132411       0.132411              0              0
    6380    3121       0.133569       0.133569              0              0
    6380    3122       0.134732       0.134732              0              0
    6380    3123       0.135907       0.135907              0              0
    6380    3124       0.137087       0.137087              0              0
    6380    3125       0.138275       0.138275              0              0
    6380    3126       0.139473       0.139473              0              0
    6380    3127       0.140674       0.140674              0              0
    6380    3128       0.141887       0.141887              0              0
    6380    3129       0.143105       0.143105              0              0
    6380    3130       0.144331       0.144331              0              0
    6380    3131       0.145566       0.145566              0              0
    6380    3132       0.146805       0.146805              0              0
    6380    3133       0.148058       0.148058              0              0
    6380    3134       0.149316       0.149316              0              0
    6380    3135       0.150584       0.150584              0              0
    6380    3136       0.151862       0.151862              0              0
    6380    3137       0.153144       0.153144              0              0
    6380    3138       0.154441       0.154441              0              0
    6380    3139       0.155741       0.155741              0              0
    6380    3140       0.157051       0.157051              0              0
    6380    3141       0.158368       0.158368              0              0
    6380    3142       0.159691       0.159691              0              0
    6380    3143       0.161025       0.161025              0              0
    6380    3144       0.162362       0.162362              0              0
    6380    3145        0.16371        0.16371              0              0
    6380    3146       0.165064       0.165064              0              0
    6380    3147       0.166425       0.166425              0              0
    6380    3148       0.167796       0.167796              0              0
    6380    3149       0.169171       0.169171              0              0
    6380    3150        0.17056        0.17056              0              0
    6380    3151       0.171953       0.171953              0              0
    6380    3152       0.173355       0.173355              0              0
    6380    3153       0.174765       0.174765              0              0
    6380    3154        0.17618        0.17618              0              0
    6380    3155       0.177608       0.177608              0              0
    6380    3156       0.179039       0.179039              0              0
    6380    3157       0.180482       0.180482              0              0
    6380    3158       0.181933       0.181933              0              0
    6380    3159       0.183391       0.183391              0              0
    6380    3160       0.184861       0.184861              0              0
    6380    3161       0.186335       0.186335              0              0
    6380    3162       0.187824       0.187824              0              0
    6380    3163       0.189318       0.189318              0              0
    6380    3164       0.190821       0.190821              0              0
    6380    3165       0.192333       0.192333              0              0
    6380    3166       0.193851       0.193851              0              0
    6380    3167       0.195381       0.195381              0              0
    6380    3168       0.196913       0.196913              0              0
    6380    3169       0.198456       0.198456              0              0
    6380    3170       0.200004       0.200004              0              0
    6380    3171       0.201559       0.201559              0              0
    6380    3172       0.203123       0.203123              0              0
